Date,Received,Sent
20231223,10196514,10196514
20231222,19916672,19916672
20231221,27858622,27858622
20231220,21236594,21236594
20231219,4158432,4158432
20231218,22509171,22509171
20231217,5267436,5267436
20231216,23638157,23638157
20231214,14596498,14596498
20231213,15168250,15168250
20231209,2194516,2194516
20231208,4956172,4956172
20231207,6517089,6517089
20231206,27199679,27199679
20231205,4738646,4738646
20231204,7727829,7727829
20231203,24139492,24139492
20231202,119257329,119257329
20231201,26718579,26718579
20231130,16213459,16213459
20231129,202084092,202084092
20231128,12890431,12890431
20231127,3831775,3831775
20231126,9392140,9392140
20231125,6303702,6303702
20231124,28222,28222
20231123,427990,427990
20231122,7779215,7779215
20231121,18401979,18401979
20231120,26323509,26323509
20231119,45259,45259
20231118,16695674,16695674
20231116,6863260,6863260
20231113,22187936,22187936
20231112,11953750,11953750
20231111,15902341,15902341
20231110,1928490,1928490
20231109,65172,65172
20231107,6888854,6888854
20231106,14318382,14318382
20231105,51766937,51766937
20231104,186161056,186161056
20231103,8177049,8177049
20231102,167961,167961
20231030,52071066,52071066
20231029,27618584,27618584
20231028,32051480,32051480
20231027,4503273,4503273
20231026,9254467,9254467
20231025,104964,104964
20231024,5588261,5588261
20231023,16010525,16010525
20231022,29977998,29977998
20231021,30507645,30507645
20231019,5454655,5454655
20231018,39351176,39351176
20231017,3907466,3907466
20231016,52369,52369
20231015,220171,220171
20231014,6057661,6057661
20231013,7605994,7605994
20231012,4202122,4202122
20231011,6042870,6042870
20231009,14817239,14817239
20231008,654333,654333
20231007,5127112,5127112
20231006,5404365,5404365
20231005,163596,163596
20231004,40120,40120
20231003,28819680,28819680
20231002,35274607,35274607
20231001,6128511,6128511
20230930,168059491,168059491
20230929,31871714,31871714
20230928,13167871,13167871
20230927,83495550,83495550
20230926,11067967,11067967
20230925,1017569,1017569
20230924,3603585,3603585
20230922,3075029,3075029
20230921,66150,66150
20230920,7229869,7229869
20230919,12925609,12925609
20230918,20126027,20126027
20230917,97954990,97954990
20230916,28747170,28747170
20230915,19448146,19448146
20230914,23389705,23389705
20230913,3964353,3964353
20230912,7450642,7450642
20230911,4200742,4200742
20230910,13114776,13114776
20230909,56473665,56473665
20230908,54839930,54839930
20230907,7723692,7723692
20230906,12416829,12416829
20230905,12125073,12125073
20230904,317808,317808
20230903,201829,201829
20230901,46167684,46167684
20230831,45762342,45762342
20230829,12335561,12335561
20230828,79968,79968
20230827,2806832,2806832
20230826,66285549,66285549
20230824,26181843,26181843
20230823,16842596,16842596